"Customer ID",Average_Order_Value
CUST015,2000.0000
CUST065,2000.0000
CUST072,2000.0000
CUST074,2000.0000
CUST089,2000.0000
CUST093,2000.0000
CUST109,2000.0000
CUST118,2000.0000
CUST124,2000.0000
CUST139,2000.0000
CUST152,2000.0000
CUST155,2000.0000
CUST157,2000.0000
CUST166,2000.0000
CUST253,2000.0000
CUST257,2000.0000
CUST269,2000.0000
CUST281,2000.0000
CUST342,2000.0000
CUST412,2000.0000
CUST416,2000.0000
CUST420,2000.0000
CUST447,2000.0000
CUST476,2000.0000
CUST480,2000.0000
CUST487,2000.0000
CUST503,2000.0000
CUST547,2000.0000
CUST561,2000.0000
CUST572,2000.0000
CUST577,2000.0000
CUST592,2000.0000
CUST595,2000.0000
CUST626,2000.0000
CUST634,2000.0000
CUST664,2000.0000
CUST700,2000.0000
CUST731,2000.0000
CUST735,2000.0000
CUST742,2000.0000
CUST743,2000.0000
CUST773,2000.0000
CUST789,2000.0000
CUST808,2000.0000
CUST832,2000.0000
CUST875,2000.0000
CUST927,2000.0000
CUST946,2000.0000
CUST970,2000.0000
CUST013,1500.0000
CUST016,1500.0000
CUST047,1500.0000
CUST054,1500.0000
CUST078,1500.0000
CUST111,1500.0000
CUST112,1500.0000
CUST115,1500.0000
CUST144,1500.0000
CUST164,1500.0000
CUST169,1500.0000
CUST193,1500.0000
CUST199,1500.0000
CUST211,1500.0000
CUST212,1500.0000
CUST213,1500.0000
CUST215,1500.0000
CUST239,1500.0000
CUST280,1500.0000
CUST313,1500.0000
CUST356,1500.0000
CUST369,1500.0000
CUST372,1500.0000
CUST385,1500.0000
CUST421,1500.0000
CUST452,1500.0000
CUST463,1500.0000
CUST474,1500.0000
CUST506,1500.0000
CUST507,1500.0000
CUST522,1500.0000
CUST533,1500.0000
CUST580,1500.0000
CUST608,1500.0000
CUST611,1500.0000
CUST636,1500.0000
CUST647,1500.0000
CUST673,1500.0000
CUST676,1500.0000
CUST677,1500.0000
CUST693,1500.0000
CUST710,1500.0000
CUST711,1500.0000
CUST720,1500.0000
CUST805,1500.0000
CUST843,1500.0000
CUST859,1500.0000
CUST869,1500.0000
CUST942,1500.0000
CUST956,1500.0000
CUST031,1200.0000
CUST046,1200.0000
CUST058,1200.0000
CUST067,1200.0000
CUST099,1200.0000
CUST107,1200.0000
CUST142,1200.0000
CUST165,1200.0000
CUST181,1200.0000
CUST202,1200.0000
